
BOH;Bohemia;Boh?e;B?men;;Bohemia;;;;;;;;;x;;;;
DZG;Danzig-Pomeralia;Dantzig;Danzig;;Danzig;;;;;;;;;x;;;;
KRA;Galicia-Lodomeria;Cracovie;Krakau;;Cracovia;;;;;;;;;x;;;;
SIE;Transilvania;Transylvanie;Siebenb?gen;;Transilvania;;;;;;;;;x;;;;
SAR;Savoy;Pi?ont-Sardaigne;Sardinien-Piemont;;Piamonte-Cerde?;;;;;;;;;x;;;;
SIC;Napoles;Deux-Siciles;Sizilien-Neapel;;Las Dos Sicilias;;;;;;;;;x;;;;
ENG;Anglia;Royaume-Uni;Gro?ritannien;;Reino Unido;;;;;;;;;x;;;;
AFG;Durrani Empire;Afghanistan;Afghanistan;;Afganist?;;;;;;;;;x;;;;
CAM;Khmer Empire;Cambodge;Kambodscha;;Camboya;;;;;;;;;x;;;;
USA;Fredikerjord;?ats-Unis d'Am?ique;USA;;EE UU;;;;;;;;;x;;;;
COL;Vestlandet;Colombie;Columbia;;Columbia;;;;;;;;;x;;;;
NEN;New Sjaelland;Nouvelle-Angleterre;Neuengland;;Nueva Inglaterra;;;;;;;;;x;;;;
CUB;Kuba;Cuba;Kuba;;Cuba;;;;;;;;;x;;;;
QUE;Vinland;Qu?ec;Quebec;;Quebec;;;;;;;;;x;;;;
ARG;Provincias Unidas De La Plata;Argentine;Argentinien;;Argentina;;;;;;;;;x;;;;
CLM;Nueva Granada;Colombie;Kolumbien;;Colombia;;;;;;;;;x;;;;
MAN;The Union Of Vinland;Manhattan;Manhattan-Kommune;;Com de Manhattan;;;;;;;;;x;;;;
MUG;Mughal Empire;Mogholistan;Mughalistan;;Mughalist?;;;;;;;;;x;;;;
AGO_ADJ;Aragonese;Aragonese;Aragonese;;;;;;;;;;;x;
MUS_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MUS_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MUS_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
ORL_ADJ;Orlean;Orlean;Orlean;;;;;;;;;;;x;
ORL;Orleans;Orleans;Orleans;;;;;;;;;;;x;
ORL_proletarian_dictatorship;Peoples Republic Of Orleans;Peoples Republic Of Orleans;Peoples Republic Of Orleans;;;;;;;;;;;x;
ORL_presidential_dictatorship;Orleans;Orleans;Orleans;;;;;;;;;;;x;
ORL_bourgeois_dictatorship;Orleans;Orleans;Orleans;;;;;;;;;;;x;
ORL_fascist_dictatorship;Orleans;Orleans;Orleans;;;;;;;;;;;x;
ORL_absolute_monarchy;Orleans;Orleans;Orleans;;;;;;;;;;;x;
ORL_prussian_constitutionalism;Orleans;Orleans;Orleans;;;;;;;;;;;x;
ORL_hms_government;Orleans;Orleans;Orleans;;;;;;;;;;;x;
ORL_democracy;Republic Of Orleans;Republic Of Orleans;Republic Of Orleans;;;;;;;;;;;x;
ORL_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ORL_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ORL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ORL_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ORL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ORL_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ORL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ORL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ORL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
BGU_ADJ;Burgundian;Burgundian;Burgundian;;;;;;;;;;;x;
BGU;Burgundy;Burgundy;Burgundy;;;;;;;;;;;x;
BGU_proletarian_dictatorship;Peoples Republic Of Burgundy;Peoples Republic Of Burgundy;Peoples Republic Of Burgundy;;;;;;;;;;;x;
BGU_presidential_dictatorship;Burgundy;Burgundy;Burgundy;;;;;;;;;;;x;
BGU_bourgeois_dictatorship;Burgundy;Burgundy;Burgundy;;;;;;;;;;;x;
BGU_fascist_dictatorship;Burgundy;Burgundy;Burgundy;;;;;;;;;;;x;
BGU_absolute_monarchy;Burgundy;Burgundy;Burgundy;;;;;;;;;;;x;
BGU_prussian_constitutionalism;Burgundy;Burgundy;Burgundy;;;;;;;;;;;x;
BGU_hms_government;Burgundy;Burgundy;Burgundy;;;;;;;;;;;x;
BGU_democracy;Republic Of Burgundy;Republic Of Burgundy;Republic Of Burgundy;;;;;;;;;;;x;
BGU_conservative_86;Republicain;Republicain;Republicain;;;;;;;;;;;x;
BGU_liberal_83;Orleaniste;Orleaniste;Orleaniste;;;;;;;;;;;x;
BGU_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
BGU_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BGU_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
BGU_reactionary_76;Legitimiste;Legitimiste;Legitimiste;;;;;;;;;;;x;
BGU_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BGU_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BGU_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
PRV_ADJ;Provencal;Provencal;Provencal;;;;;;;;;;;x;
PRV;Provence;Provence;Provence;;;;;;;;;;;x;
PRV_proletarian_dictatorship;Provence;Provence;Provence;;;;;;;;;;;x;
PRV_presidential_dictatorship;Provence;Provence;Provence;;;;;;;;;;;x;
PRV_bourgeois_dictatorship;Provence;Provence;Provence;;;;;;;;;;;x;
PRV_fascist_dictatorship;Provence;Provence;Provence;;;;;;;;;;;x;
PRV_absolute_monarchy;Provence;Provence;Provence;;;;;;;;;;;x;
PRV_prussian_constitutionalism;Provence;Provence;Provence;;;;;;;;;;;x;
PRV_hms_government;Provence;Provence;Provence;;;;;;;;;;;x;
PRV_democracy;Provence;Provence;Provence;;;;;;;;;;;x;
PRV_conservative_98;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
PRV_liberal_86;Liberals;Liberals;Liberals;;;;;;;;;;;x;
PRV_liberal_97;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
PRV_socialist_95;Socialists;Socialists;Socialists;;;;;;;;;;;x;
PRV_socialist_109;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
PRV_reactionary_91;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
PRV_anarcho_liberal_99;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
PRV_communist_94;Communists;Communists;Communists;;;;;;;;;;;x;
PRV_fascist_96;Fascists;Fascists;Fascists;;;;;;;;;;;x;
SWA_ADJ;Swabian;Swabian;Swabian;;;;;;;;;;;x;
SWA;Swabia;Swabia;Swabia;;;;;;;;;;;x;
SWA_proletarian_dictatorship;People's Republic Of Swabia;People's Republic Of Swabia;People's Republic Of Swabia;;;;;;;;;;;x;
SWA_presidential_dictatorship;Swabia;Swabia;Swabia;;;;;;;;;;;x;
SWA_bourgeois_dictatorship;Swabia;Swabia;Swabia;;;;;;;;;;;x;
SWA_fascist_dictatorship;State Of Swabia;State Of Swabia;State Of Swabia;;;;;;;;;;;x;
SWA_absolute_monarchy;Swabia;Swabia;Swabia;;;;;;;;;;;x;
SWA_prussian_constitutionalism;Swabia;Swabia;Swabia;;;;;;;;;;;x;
SWA_hms_government;Swabia;Swabia;Swabia;;;;;;;;;;;x;
SWA_democracy;Republic of Swabia;Republic of Swabia;Republic of Swabia;;;;;;;;;;;x;
SWA_conservative_98;Conservative Partei;Conservative Partei;Conservative Partei;;;;;;;;;;;x;
SWA_liberal_88;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SWA_liberal_89;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SWA_socialist_90;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SWA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SWA_reactionary_74;Royalists;Royalists;Royalists;;;;;;;;;;;x;
SWA_anarcho_liberal_82;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SWA_communist_89;Kommunistchen;Kommunistchen;Kommunistchen;;;;;;;;;;;x;
SWA_fascist_68;NSPA;NSPA;NSPA;;;;;;;;;;;x;
BRG_ADJ;Branderburgian;Branderburgian;Branderburgian;;;;;;;;;;;x;
BRG;Brandenburg;Brandenburg;Brandenburg;;;;;;;;;;;x;
BRG_proletarian_dictatorship;Brandenburg;Brandenburg;Brandenburg;;;;;;;;;;;x;
BRG_presidential_dictatorship;Brandenburg;Brandenburg;Brandenburg;;;;;;;;;;;x;
BRG_bourgeois_dictatorship;Brandenburg;Brandenburg;Brandenburg;;;;;;;;;;;x;
BRG_fascist_dictatorship;Brandenburg;Brandenburg;Brandenburg;;;;;;;;;;;x;
BRG_absolute_monarchy;Brandenburg;Brandenburg;Brandenburg;;;;;;;;;;;x;
BRG_prussian_constitutionalism;Brandenburg;Brandenburg;Brandenburg;;;;;;;;;;;x;
BRG_hms_government;Brandenburg;Brandenburg;Brandenburg;;;;;;;;;;;x;
BRG_democracy;Brandenburg;Brandenburg;Brandenburg;;;;;;;;;;;x;
BRG_conservative_92;Conservative partei;Conservatives;Conservatives;;;;;;;;;;;x;
BRG_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
BRG_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
BRG_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BRG_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
BRG_reactionary_84;Monarchists;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
BRG_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BRG_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BRG_fascist_72;NSPA;Fascists;Fascists;;;;;;;;;;;x;
WST_ADJ;Westphalian;Westphalian;Westphalian;;;;;;;;;;;x;
WST;Westphalia;Westphalia;Westphalia;;;;;;;;;;;x;
WST_proletarian_dictatorship;Peoples Republic Of Westphalia;Peoples Republic Of Westphalia;Peoples Republic Of Westphalia;;;;;;;;;;;x;
WST_presidential_dictatorship;Republic Of Westphalia;Republic Of Westphalia;Republic Of Westphalia;;;;;;;;;;;x;
WST_bourgeois_dictatorship;Westphalia;Westphalia;Westphalia;;;;;;;;;;;x;
WST_fascist_dictatorship;State Of Westphalia;State Of Westphalia;State Of Westphalia;;;;;;;;;;;x;
WST_absolute_monarchy;Kingdom Of Westphalia;Kingdom Of Westphalia;Kingdom Of Westphalia;;;;;;;;;;;x;
WST_prussian_constitutionalism;Westphala;Westphala;Westphala;;;;;;;;;;;x;
WST_hms_government;Westphalia;Westphalia;Westphalia;;;;;;;;;;;x;
WST_democracy;Republic Of Westphalia;Republic Of Westphalia;Republic Of Westphalia;;;;;;;;;;;x;
WST_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
WST_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
WST_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
WST_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
WST_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
WST_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
WST_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
WST_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
WST_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
LUS_ADJ;Lusofonic;Lusofonic;Lusofonic;;;;;;;;;;;x;
LUS;Luson Empire;Luson Empire;Luson Empire;;;;;;;;;;;x;
LUS_proletarian_dictatorship;Luson Peoples Republic;Luson Peoples Republic;Luson Peoples Republic;;;;;;;;;;;x;
LUS_presidential_dictatorship;Luson Republic;Luson Republic;Luson Republic;;;;;;;;;;;x;
LUS_bourgeois_dictatorship;Luson Empire;Luson Empire;Luson Empire;;;;;;;;;;;x;
LUS_fascist_dictatorship;Luson Empire;Luson Empire;Luson Empire;;;;;;;;;;;x;
LUS_absolute_monarchy;Luson Empire;Luson Empire;Luson Empire;;;;;;;;;;;x;
LUS_prussian_constitutionalism;Luson Empire;Luson Empire;Luson Empire;;;;;;;;;;;x;
LUS_hms_government;Luson Empire;Luson Empire;Luson Empire;;;;;;;;;;;x;
LUS_democracy;Lusofonic Republic;Lusofonic Republic;Lusofonic Republic;;;;;;;;;;;x;
LUS_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
LUS_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
LUS_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
LUS_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
LUS_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
LUS_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
LUS_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
LUS_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
LUS_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
CHN;Chin State;;;;;;;;;;;x
CHN_ADJ;Chin;;;;;;;;;;;x
PIY;Pinya Empire;;;;;;;;;;;x
PIY_ADJ;Tibeto-Burman;;;;;;;;;;;x
chin;Chin;;;;;;;;;;;x
bai;Bai;;;;;;;;;;;x
Karolean;Karolean;Yankee;Yankee-Amerikanisch;;Yanqui;;;;;;;;;x;;;;
dano_canadian;Danish Canadian;Anglo-canadien;Anglokanadisch;;Anglocanadiense;;;;;;;;;x;;;;
nordic_canadian;Vinlandic;Franco-canadien;Frankokanadisch;;Franco-canadiense;;;;;;;;;x;;;;
kazani;Kazani Tatar;;;;;;;;;x;;;;
krymo;Crimean Tatar;;;;;;;;;;;;;
mishar;Mishari Tatar;;;;;;;;;x;;;;
ORA;Lourenço;Lourenço;Lourenço;;;;;;;;;;;x;
TRN;Moçanbique;Moçanbique;Moçanbique;;;;;;;;;;;x;
MEX_absolute_monarchy;Nueva Espana;Empire du Mexique;Mexikanisches Kaiserreich;;Imperio de Mexico;;;;;;;;;x
MEX_prussian_constitutionalism;Empire of Mexico;Empire du Mexique;Mexikanisches Kaiserreich;;Imperio de Mexico;;;;;;;;;x
MEX_hms_government;Empire of Mexico;Empire du Mexique;Mexikanisches Kaiserreich;;Imperio de Mexico;;;;;;;;;x
TRE;Padania;Padania;Padania;;;;;;;;;;;x;
WST_liberal;Liberale Partei;Liberale Partei;Liberale Partei;;;;;;;;;;;x;
WST_liberal_2;Liberale Partei;Liberale Partei;Liberale Partei;;;;;;;;;;;x;
WST_liberal_3;Liberale Partei;Liberale Partei;Liberale Partei;;;;;;;;;;;x;
WST_conservative;Konservative Partei;Konservative Partei;Konservative Partei;;;;;;;;;;;x;
WST_conservative_2;Konservative Partei;Konservative Partei;Konservative Partei;;;;;;;;;;;x;
WST_conservative_3;Konservative Partei;Konservative Partei;Konservative Partei;;;;;;;;;;;x;
WST_socialist;Westfälische Volkspartei;Westfälische Volkspartei;Westfälische Volkspartei;;;;;;;;;;;x;
WST_reactionary;Westfälische Vaterlandspartei;Westfälische Vaterlandspartei;Westfälische Vaterlandspartei;;;;;;;;;;;x;
WST_anarcho_liberal;Radikale Partei;Radikale Partei;Radikale Partei;;;;;;;;;;;x;
WST_communist;Kommunistische Arbeiter-Partei Deutschlands;Kommunistische Arbeiter-Partei Deutschlands;Kommunistische Arbeiter-Partei Deutschlands;;;;;;;;;;;x;
WST_fascist;Nationaldemokratische Partei Deutschlands;Nationaldemokratische Partei Deutschlands;Nationaldemokratische Partei Deutschlands;;;;;;;;;;;x;
